ID,category,file_name,location,include,archive_date,destroy_date,owner,notes
557,Library,Farm Permit,"Admin Building,Library,G,4",,1-Jan-80,1-Jan-80,Adm Asst,
558,Library,Bureau of Wastewater Operations Dept. of Public Works - 2004 Annual Report,"Admin Building,Library,G,4",,1-Jan-80,1-Jan-80,Adm Asst,
559,Library,Bond Refinancing 2002-2004,"Admin Building,Library,G,4",,1-Jan-80,1-Jan-80,Adm Asst,
560,Library,Employee Policy Manual - LASA 2002 Annual Report,"Admin Building,Library,H,2",,1-Jan-80,1-Jan-80,Adm Asst,
561,Library,LASA & MHT Commissioner App. For NPDES WQM Part II Permit Transfer 10/03,"Admin Building,Library,H,3",,1-Jan-80,1-Jan-80,Adm Asst,
562,Library,LASA - WPCF & CPS Project Manual Vol. I of II  - Spec. Divisions 1-9,"Admin Building,Library,H,3",,1-Jan-80,1-Jan-80,Adm Asst,
563,Library,LASA - WPCF & CPS Spec. Dvisions 10-17,"Admin Building,Library,H,3",,1-Jan-80,1-Jan-80,Adm Asst,
564,Library,Spec. Addendums 1-6,"Admin Building,Library,H,3",,1-Jan-80,1-Jan-80,Adm Asst,
565,Library,LASA Emergency Response Plan 2010,"Admin Building,Library,E,6",,1-Jan-80,9-Apr-14,Adm Asst,
566,Library,LASA Financial Reports - 1966-2002,"Admin Building,Library,H,4",,1-Jan-80,1-Jan-80,Adm Asst,
567,Library,,"Admin Building,Library,H,4",,1-Jan-80,1-Jan-80,Adm Asst,
568,Library,Water Quality Management Permits II,"Admin Building,Library,H,4",,1-Jan-80,1-Jan-80,Adm Asst,
569,Library,NRT Study,"Admin Building,Library,H,4",,1-Jan-80,1-Jan-80,Adm Asst,
570,Library,Re-rate Study 12/95,"Admin Building,Library,H,4",,1-Jan-80,1-Jan-80,Adm Asst,
571,Library,Lancaster County Sludge Study 89&#039,"Admin Building,Library,H,4",,1-Jan-80,1-Jan-80,Adm Asst,
572,Library,Pollution Prevention / Energy Efficiency Site Assessment For LASA Water Pollution Control Facility 6/2003,"Admin Building,Library,H,4",,1-Jan-80,1-Jan-80,Adm Asst,
573,Library,LASA PA DEP Permit App. For Modifications to the Susq. Water Pollution Control Facility,"Admin Building,Library,H,4",,1-Jan-80,1-Jan-80,Adm Asst,
574,Library,LASA NPDES # PA 042269 - Water Quality Mgmt. Part II Permit App. Submitted 7/96,"Admin Building,Library,H,4",,1-Jan-80,1-Jan-80,Adm Asst,
575,Library,,"Admin Building,Library,H,4",,1-Jan-80,1-Jan-80,Adm Asst,
576,Library,Power Reliability Study For LASA,"Admin Building,Library,H,4",,1-Jan-80,1-Jan-80,Adm Asst,
577,Library,LASA NPDES # PA 0042269 - App. for permit renewal Submitted 7/96,"Admin Building,Library,H,4",,1-Jan-80,1-Jan-80,Adm Asst,
578,Library,Act 339 Apps. 1991-2000,"Admin Building,Library,H,5",,1-Jan-80,1-Jan-80,Adm Asst,
579,Library,Discharge Monitoring Reports 1998-2002,"Admin Building,Library,I,2",,1-Jan-80,1-Jan-80,Adm Asst,
580,Library,Bureau of Labor Law Compliance Info Handbook,"Admin Building,Library,I,2",,1-Jan-80,1-Jan-80,Adm Asst,
581,Library,Literature - Summary Report - Fine Pore Aeration Systems,"Admin Building,Library,I,2",,1-Jan-80,1-Jan-80,Adm Asst,
582,Library,Building Construction Cost Data,"Admin Building,Library,I,2",,1-Jan-80,1-Jan-80,Adm Asst,
583,Library,General Industry Safety & Health,"Admin Building,Library,I,3",,1-Jan-80,1-Jan-80,Adm Asst,
584,Library,Project Manual Info - Susq. Water Pollution Control Facility,"Admin Building,Library,I,3",,1-Jan-80,1-Jan-80,Adm Asst,
585,Escrow Complete,Mountville Elementary School,"Admin Building,Melissa Desk Area,1",,1-Jan-80,1-Jan-80,Adm Asst,
586,Escrow Complete,"Nissley, Thomas 544 Main st, Landisville","Admin Building,Vault,Completed & Closed,7","Agreements, Correspondence, Invoices, Plans",10-Nov-08,1-Jan-80,Adm Asst,
587,Escrow Complete,"Glenn Gingrich, Ridgeview Estates","Admin Building,Melissa Desk Area,1",,1-Jan-80,1-Jan-80,Adm Asst,
588,Escrow Complete,Gable Park Woods - Sect. VI,"Admin Building,Melissa Desk Area,1",,1-Jan-80,1-Jan-80,Adm Asst,
589,Pretreatment,LASA Compliance History,"Admin Building,Vault,General,2","Correspondence, Report",1-Jan-80,1-Jan-80,Operations Chief,
590,Pretreatment,EPA Pretreatment Compliance Inspect. - Inspection Reports & LASA&#039s Reply,"Admin Building,Vault,General,1","Correspondence, Report",1-Jan-80,1-Jan-80,Operations Chief,Compliance History
591,Pretreatment,Treatment Plant - Notice of Violation,"Admin Building,Vault,General,2","Correspondence, Report",1-Jan-80,1-Jan-80,Operations Chief,Compliance History
592,Pretreatment,EPA Pretreatment Program - Administrative Order,"Admin Building,Vault,General,2","Correspondence, Report",1-Jan-80,1-Jan-80,Operations Chief,Compliance History
593,Escrow Complete,"Patches, Stephen @ 416 Petersburg Rd. (MHT)","Admin Building,Vault,Completed & Closed,1","Agreements, Correspondence, Invoices, Rights of way",7-Mar-07,1-Jan-80,Adm Asst,
594,Escrow Complete,Nolt Road Sewer Extensions,"Admin Building,General Office Area 022,Escrow,1","Correspondence, Invoices, Permits",8-Feb-07,1-Jan-80,Adm Asst,
595,Escrow Complete,Southfield,"Admin Building,Vault,Completed & Closed,1","Correspondence, Plans",7-Feb-07,1-Jan-80,Adm Asst,
596,Escrow Complete,Sinz Property,"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",7-Feb-07,1-Jan-80,Adm Asst,
597,Escrow Complete,Sigma Electronics,"Admin Building,Vault,Completed & Closed,1",Correspondence,1-Jan-80,1-Jan-80,Adm Asst,
598,Escrow Complete,Shearer Centerline SubdivisionPlan,"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",7-Feb-07,1-Jan-80,Adm Asst,
599,Escrow Complete,"Salimbeni, Eugene","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",7-Feb-07,1-Jan-80,Adm Asst,
600,Escrow Complete,"Segro, John","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",7-Feb-07,1-Jan-80,Adm Asst,
601,Escrow Complete,Running Pump Business Center,"Admin Building,Vault,Completed & Closed,1","Agreements, Correspondence, Invoices, Plans, Rights of way",7-Feb-07,1-Jan-80,Adm Asst,
602,Escrow Complete,"Richard, Roger J. @ 3310 Briarwood Blvd.","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",7-Feb-07,1-Jan-80,Adm Asst,
603,Escrow Complete,"Rickenbach, Les - 11 Michelle Drive Lot 22","Admin Building,Vault,Completed & Closed,1",Correspondence,7-Mar-07,1-Jan-80,Adm Asst,
604,Escrow Complete,Rhoads & Smith,"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",7-Feb-07,1-Jan-80,Adm Asst,
605,Escrow Complete,Regency Square - Lot 21,"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",7-Feb-07,1-Jan-80,Adm Asst,
606,Escrow Complete,"QVC, Inc Building Expansion","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",7-Feb-07,1-Jan-80,Adm Asst,
607,Escrow Complete,Protech Mechanical Contractors - Office Bldg.,"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",7-Feb-07,1-Jan-80,Adm Asst,
608,Escrow Complete,Price Self Storage,"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",7-Feb-07,1-Jan-80,Adm Asst,
609,Escrow Complete,Poff Lawn Maintenance (MHT),"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",7-Feb-07,1-Jan-80,Adm Asst,
610,Escrow Complete,Penske Truck Leasing Company,"Admin Building,Vault,Completed & Closed,1","Agreements, Correspondence",7-Feb-07,1-Jan-80,Adm Asst,
611,Escrow Complete,Kevin Noll Subdivision,"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",7-Feb-07,1-Jan-80,Adm Asst,
612,Escrow Complete,Nissin Food Expansion,"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",7-Feb-07,1-Jan-80,Adm Asst,
613,Escrow Complete,"Sensenig, Elmer @ 228 Habcker Church Rd.","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",7-Feb-07,1-Jan-80,Adm Asst,
614,Escrow Complete,1674 Stony Battery Rd.,"Admin Building,Vault,Completed & Closed,1",Correspondence,12-Feb-07,1-Jan-80,Adm Asst,
615,Escrow Complete,Workouts Fitness/ Swimming Campus (Golden Meadows),"Admin Building,Melissa Desk Area,3","Agreements, Correspondence, Invoices, Plans",1-Jan-80,1-Jan-80,Adm Asst,
616,Escrow Complete,Paul Stauffer Residential Development,"Admin Building,Vault,Completed & Closed,1",Correspondence,12-Feb-07,1-Jan-80,Adm Asst,
617,Escrow Complete,"Stony Battery Corporate Center, Lots 26 & 27","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",1-Jan-80,1-Jan-80,Adm Asst,
618,Ex Dir Files,Accounting System / Accounting Software,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
619,Ex Dir Files,Air Quality,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
620,Ex Dir Files,Act 339,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
621,Ex Dir Files,"Awards - EPA O/M, Region III Award 2002","Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
622,Ex Dir Files,Assets,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
623,Ex Dir Files,Annual Reports 2004-2006,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
624,Ex Dir Files,Annual Reports  1999 - 2003,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
625,Ex Dir Files,Annual Reports,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
626,Ex Dir Files,Spills,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
627,Ex Dir Files,BNR Grant,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
628,Ex Dir Files,BNR,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
629,Ex Dir Files,Bill Collection,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
630,Ex Dir Files,Billing,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
631,Ex Dir Files,Brochures,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
632,Ex Dir Files,Bylaws,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
633,Ex Dir Files,"Barley, Snyder, Senft & Cohen, LLC","Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
634,Ex Dir Files,Billing (fees),"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
635,Ex Dir Files,Bednarski,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
636,Ex Dir Files,Brochures,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
637,Ex Dir Files,Bendmark,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
638,Ex Dir Files,Brethren Village,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
639,Ex Dir Files,"Chapter 94 - 1999, 2000, 2001, 2004","Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
640,Ex Dir Files,Chapter 94,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
641,Ex Dir Files,Capacity Reservation - Tapping Fee - Legislation,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
642,Ex Dir Files,Computers,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
643,Ex Dir Files,Complaints,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
644,Ex Dir Files,Supplimentary Contracts,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
645,Ex Dir Files,Contract Ops.,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
646,Ex Dir Files,Corrosion Control,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
647,Ex Dir Files,Customer Service,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
648,Ex Dir Files,Chesapeake Bay,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
649,Ex Dir Files,Collection System,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
650,Ex Dir Files,Columbia,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
651,Ex Dir Files,Certification,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
652,Ex Dir Files,CDL,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
653,Ex Dir Files,10C Office Expansion,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
654,Ex Dir Files,Capital,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
655,Ex Dir Files,Calvary Fellowship Homes,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
656,Ex Dir Files,Complaints,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
657,Ex Dir Files,Control Bld.,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
658,Ex Dir Files,Corrosion,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
659,Ex Dir Files,Concordia Rd,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
660,Ex Dir Files,Chapter 94 2002 - 2003,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
661,Ex Dir Files,Collection/Problems,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
662,Ex Dir Files,Capital Priorities / Misc. Projects,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
663,Ex Dir Files,DEP Rad. & District Justice,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
664,Ex Dir Files,Develop. Agreements,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
665,Ex Dir Files,DMR&#039s,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
666,Ex Dir Files,Davis Chemical,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
667,Ex Dir Files,Goods Drive,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
668,Ex Dir Files,Govt.&#039 Excellence,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
669,Ex Dir Files,Growing Greene Grant,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
670,Ex Dir Files,GBA,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
671,Ex Dir Files,Financial / General Log,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
672,Ex Dir Files,Flow/Meters,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
673,Ex Dir Files,Finance,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
674,Ex Dir Files,FOG,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
675,Ex Dir Files,Farm Lease,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
676,Ex Dir Files,Employee Survey,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
677,Ex Dir Files,Energy Audit,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
678,Ex Dir Files,Emloyee Luncheon,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
679,Ex Dir Files,Ethics,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
680,Ex Dir Files,Eden Rd. PS,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
681,Ex Dir Files,ERP,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
682,Ex Dir Files,Job Perf. Evaluations,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
683,Ex Dir Files,Evaluations,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
684,Ex Dir Files,Objectives 2007,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
685,Ex Dir Files,OP Cert.,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
686,Ex Dir Files,National Bio. Perf.,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
687,Ex Dir Files,Mandatory Connections,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
688,Ex Dir Files,Max/Teams,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
689,Ex Dir Files,Mat. Consult.,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
690,Ex Dir Files,MyWave,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
691,Ex Dir Files,Land Purchase,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
692,Ex Dir Files,Landscaping,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
693,Ex Dir Files,Lancaster Twp.,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
694,Ex Dir Files,Lancaster County Solid Waste,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
695,Ex Dir Files,Laboratory,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
696,Ex Dir Files,Legal Opinions,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
697,Ex Dir Files,Legal Misc.,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
698,Ex Dir Files,Lancaster City Gateway,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
699,Ex Dir Files,Leola,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
700,Ex Dir Files,Lancaster City - Grandview Heights,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
701,Ex Dir Files,Job Perf. Evaluation,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
702,Ex Dir Files,Insurance liability,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
703,Ex Dir Files,Insurance,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
704,Ex Dir Files,I & I,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
705,Ex Dir Files,Interns,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
706,Ex Dir Files,Honeysuckle Lane Agreement,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
707,Ex Dir Files,Hogan Agreement,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
708,Ex Dir Files,Honeysuckle Lane - Gravity Sewer Project,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
709,Ex Dir Files,Honeysuckle Lane,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
710,Ex Dir Files,Health Dept.,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
711,Ex Dir Files,House(s),"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
712,Ex Dir Files,Hyder,"Admin Building,Mike Kyles Office,,1",,1-Jan-80,1-Jan-80,Executive Director,
713,Ex Dir Files,Sewer Ext&#039s. - $,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
714,Ex Dir Files,DEP Comments - Phase I / II,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
715,Ex Dir Files,Co. Comments Phase I,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
716,Ex Dir Files,PR,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
717,Ex Dir Files,Agreement Grant (Co.),"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
718,Ex Dir Files,Ordinance Grant (co.) - resolution,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
719,Ex Dir Files,Join Agmt. / Ords.,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
720,Ex Dir Files,TAR Budget - Budget Info,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
721,Ex Dir Files,RFP Letters of Support,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
722,Ex Dir Files,LASA Service Areas,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
723,Ex Dir Files,Manheim Township,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
724,Ex Dir Files,Manor Township,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
725,Ex Dir Files,E. Hempfield Township,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
726,Ex Dir Files,Lancaster Township,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
727,Ex Dir Files,Mountville Borough,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
728,Ex Dir Files,East Petersburg,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
729,Ex Dir Files,West Hempfield Township,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
730,Ex Dir Files,LASA,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
731,Ex Dir Files,Adoption Res.,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
732,Ex Dir Files,Columbia Borough,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
733,Ex Dir Files,Advertised Public Comment,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
734,Ex Dir Files,Grants,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
735,Ex Dir Files,"Schedule, Modeling, PHMC, City Options","Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
736,Ex Dir Files,On-lot mgt.,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
737,Ex Dir Files,Country Growth Tracking,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
738,Ex Dir Files,Act 537 - Comp. Plans,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
739,Ex Dir Files,Water,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
740,Ex Dir Files,Administrative Completeness,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
741,Ex Dir Files,Awards,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
742,Ex Dir Files,Grubb Lake,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
743,Ex Dir Files,Klinesville,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
744,Ex Dir Files,Raintree,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
745,Ex Dir Files,Ironville,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
746,Ex Dir Files,Perth Hills,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
747,Ex Dir Files,Village of Oregon,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
748,Ex Dir Files,Rockrimmon Ridges - Pinetown Rd. Extention,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
749,Ex Dir Files,Pleasant Valley - Kissel Hill Rd.,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
750,Ex Dir Files,West Hempfield,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
751,Ex Dir Files,Mountville,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
752,Ex Dir Files,Manor,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
753,Ex Dir Files,Manheim,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
754,Ex Dir Files,Lancaster,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
755,Ex Dir Files,East Petersburg,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
756,Ex Dir Files,East Hempfield,"Admin Building,Mike Kyles Office,,2",,1-Jan-80,1-Jan-80,Executive Director,
757,Ex Dir Files,Warrwick,"Admin Building,Mike Kyles Office,,3",,1-Jan-80,1-Jan-80,Executive Director,
758,Ex Dir Files,Voyager,"Admin Building,Mike Kyles Office,,3",,1-Jan-80,1-Jan-80,Executive Director,
759,Ex Dir Files,Union,"Admin Building,Mike Kyles Office,,3",,1-Jan-80,1-Jan-80,Executive Director,
760,Ex Dir Files,Trucked Waste,"Admin Building,Mike Kyles Office,,3",,1-Jan-80,1-Jan-80,Executive Director,
761,Ex Dir Files,Technology,"Admin Building,Mike Kyles Office,,3",,1-Jan-80,1-Jan-80,Executive Director,
762,Ex Dir Files,Tap Fees,"Admin Building,Mike Kyles Office,,3",,1-Jan-80,1-Jan-80,Executive Director,
763,Ex Dir Files,Trucked Waste,"Admin Building,Mike Kyles Office,,3",,1-Jan-80,1-Jan-80,Executive Director,
764,Ex Dir Files,"TDR&#039S, Training, Thank-you&#039s","Admin Building,Mike Kyles Office,,3",,1-Jan-80,1-Jan-80,Executive Director,
765,Ex Dir Files,"Safety, SLSA, Swap, Synagro, State Planning Board","Admin Building,Mike Kyles Office,,3",,1-Jan-80,1-Jan-80,Executive Director,
