DID,D_Name,D_Street,D_City,D_State,D_Zip,D_Number,D_Contact,SSMA_TimeStamp
276,Michael Fitzgibbons,820 Church St,Mount Joy,PA,17552,717-653-6247,Michael Fitzgibbons,
277,DAL Partners LLC,202 Greenfield Rd,Lancaster,PA,17601,717-509-5584,,
278,Gerald R Horst,120 N Pointe Blvd Ste 101,Lancaster,PA,17601,717-560-9095,Gerry Horst,
279,Mark Allan Design LLC,215 Hershey Mill Rd,Mountville,PA,17554,717-629-1376,Mark Bleecker,
280,B&F Partners,1650 Crooked Oak Dr Ste 300,Lancaster,PA,17601,717-314-9200,,
281,The Hershey Company,100 Crystal A Dr,Hershey,PA,17033,717-299-1265,,
282,Jay Smith,4 East Brandt Blvd,Landisville,PA,17538,717-898-7554,Jay Smith,
283,Manheim Township Historical Society,2402 Raleigh Drive,Lancaster,PA,17601,717-305-0159,Roy Baldwin,
284,Centerville Development Company,200 Old Forge Ln Ste 201,Kennett Square,PA,19348,610-388-6600,Kevin Lahn,
285,Westminster Presbyterian Church,2151 Oregon Pk,Lancaster,PA,17601,717-799-9702,Joe Wachter,
286,Jim L Norton II,166 Lakewood Drive,Pequea,PA,17565,717-201-5008,Jim L. Norton II,
287,Ben E & Robin M Kauffman,623 Brenemand Rd,Manheim,PA,17545,717-471-9803,Ben E Kauffman,
288,Grace United Methodist Church,205 Bender Road,Millersville,PA,17551,717-569-1211,,
289,Gary Wickman,PO Box 10,Silver Spring,PA,17515,717-285-3281,Gary Wickman,
290,School District of Lancaster,1020 Lehigh Ave,Lancaster,PA,17602,717-391-8681,"Harry Snavely,Matt Przywara",
291,Paccar Inc.,3001 Industry Dr.,Lancaster,PA,17603,717-397-4111,,
292,Enterprise Holdings c/o Flynn Group,5006 E. Trindle Rd. Ste 203,Mechanicsburg,PA,17050,717-790-0110,Kip Fedetz,
293,Sheetz Inc,5700 Sixth Ave,Altoona,PA,16602,814-239-6006,Brian K Soyka,
294,Robert T. Lefever,,,PA,,,,
295,Robert T. Lefever,,,PA,,,Bob,
296,"Sylvan Partners, LP",3115 Nolt Road Suite 700,Lancaster,PA,17601,717-898-7973,Jason Provanzo,
297,Saint John Neumann Church,601 East Delp Rd,Lancaster,PA,17601,717-569-8531,,
298,Calvary Fellowship Homes,502 Elizabeth Drive,Lancaster,PA,17601,717-393-0711,Clifford Hurter,
299,Neff Brothers Real Estate LP,446 W Walnut St,Lancaster,PA,17603,717-397-2558,Sam Neff,
300,Stonehouse Group,616 Paxton Pl Ste 100,LITITZ,PA,17543,717-560-6540,"BARRY HOGAN,DENNIS HERR",
301,Fern Hill Ventures LP,500 Woodland Ln,Wrightsville,PA,17368,717-896-6808,,
302,Alcoa Mill Products,1480 Manheim Pike,Lancaster,PA,17601,,Robert Radocy,
303,"M & G Realty, Inc.",2100 N. George St.,York,PA,17404,717-771-5970,Tim Rutter,
304,SKL Properties LP,"255 Butler Ave., Ste 203",Lancaster,PA,17601,717-393-3838,Kevin Lapp,
305,Kenneth Homes,320 Granite Run Dr,Lancaster,PA,17601,717-278-5105,Ken Carper Jr,
306,Tony Georgelis,1126 Persimmon Dr,Lancaster,PA,17601,,Tony Georgelis,
307,340 Roseville LP,903 Wheatland Ave,Lancaster,PA,17603,,Timothy Ferguson,
308,Landis Valley Holdings LP,616 Paxton Pl Ste 100,Lititz,PA,17543,717-560-6540,Barry Hogan,
309,Gerald and Britain Menaquale,13 Tower Hill Rd,Landenberg,PA,19350,,Gerald Menaquale,
310,Idriz & Slavica Dizdarevic,33 Echo Valley Ln,Lancaster,PA,17601,717-569-3377,Idriz Dizdarevic,
311,The Sports Complex LP,160 N Pointe Blvd Ste 200,Lancaster,PA,17601,717-945-7087,,
312,Lime Spring Properties LP,2450 Marietta Avenue,Lancaster,PA,17601,717-399-9172,"Mike O&#039Brien,Aaron Hughes",
313,Happy Hollow Associates LP,120 N Pointe Blvd Ste 301,Lancaster,PA,17601,717-569-9373,Wilbur McMichael,
314,Oregon Pike Partners LP,120 N Pointe Blvd Ste 301,Lancaster,PA,17601,717-569-9373,Wilbur McMichael,
315,Kenneth L. Carper Sr.,120 N Pointe Blvd Ste 200,Lancaster,PA,17601,717-575-3030,Kenneth L. Carper Sr.,
316,Lancaster Airport Authority,500 Airport Rd Ste G,Lititz,PA,17543,717-538-1601,,
317,George W Reagan Co,PO Box 27096,Knoxville,TN,37927,865-522-6175,William H Reagan Jr,
318,Tyler Meck,1195 Enterprise Rd,East Petersburg,PA,17520,717-945-7281,Tyler Meck,
319,Troopco LLC,1091 Hunters Path,Lancaster,PA,17601,717-898-4939,William Troop,
320,Ironstone Homes LLC,1480 Ironstone Dr,East Earl,PA,17519,717-445-8573,Trevor Eby,
321,Essex Court LLC,1 Whipporwill Dr,Lancaster,PA,17603,717-872-6401,Nate Pipitone,
322,East Petersburg Boro,6040 Main St,East Petersburg,PA,17520,717-569-2321,Robin Hemperly,
323,Quattro Development LLC,1100 Jorie Blvd Ste 238,Oak Brook,IL,60523,630-891-6476,,
324,Community Basics Inc,941 Wheatland Ave Ste 204,Lancaster,PA,17603,717-509-5713,Thomas Eisemann,
325,Hahn Farming Enterprises,4045 Marietta Ave,Columbia,PA,17512,717-503-6322,Cliff Hahn,
326,Turkey Hill LP,1199 Prospect Rd,Columbia,PA,17512,717-299-8908,,
327,Quality Bicycle Products Inc,6400 W 105th St,Bloomington,MN,55438,952-941-9391,"Kim Brown,David Smith",
328,Donald G & Jacquelyn M Herman,1016 Steeplechase Dr,Lancaster,PA,17601,717-662-1800,Donald Herman,
329,Lombardo Properties LLC,155 W Airport Rd,Lititz,PA,17543,717-723-4600,Joel Callihan,
330,Neil & Tracy L Perate,1419 Rose Virginia Rd,Reading,PA,19611,717-330-1494,Neil Perate,
331,Landis Valley LP c/o Nelson L Rohrer,2651 Oregon Pike,Lititz,PA,17543,717-569-7929,Nelson Rohrer,
332,Swarr-Conestoga Associates LP,550 American Ave Ste 1,King Of Prussia,PA,19406,,,
333,Innovative Modular Solutions,"297 E. South Frontage Rd., Unit B",Bolingbrook,IL,60440,574-875-1164,"Tom Cassity,Shane,Nicole Barnes",
334,"The Murry Companies/ Sher-Wal, Inc. Joint Venture",1899 Lititz Pike,Lancaster,PA,17601,717-569-0495,Ernie Helmick,
335,Mark Ashley,1414 Nissley Rd.,Landisville,PA,17538,717-468-5218,Mark Ashley,
336,"Spooky Champ Properties, LP c/o Richard J. Toews",102 Treetops Drive,Lancaster,PA,17601,717-538-1040,Richard Toews,
337,St. Anne&#039s Retirement Community,3952 Columbia Ave.,Columbia,PA,17512,717-285-5443,,
338,Groundscape Excavation,10 Anthony Ct.,Peach Bottom,PA,17563,717-989-0043,,
339,Richard Mohn,525 Admiralty Parade,Naples,FL,33940,,Richard Mohn,
340,Moove In Partners 741 LP,10 Bentzel Mill Rd,York,PA,17404,717-779-0804,,
341,Arbor Road Real Estate LP,5260 Main St PO Box 404,East Petersburg,PA,17520,717-940-5965,Frank Nolt,
342,Lancaster Country Day School,725 Hamilton Rd,Lancaster,PA,17603,717-392-2916,Thomas J Porsch,
